name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Rocket League®;Psyonix;;Deportes;19,99 €;PS4;"
                1.45 GB
              ";
Arcade Archives Renegade;"
Juego PSN
Lanzado 30 Jun 2015












                  110 Calificaciones
                

";;Arcade;6,99 €;PS4;;
Astebreed;"
Juego PSN
Lanzado 25 Jun 2015












                  509 Calificaciones
                

";;Arcade;14,49 €;PS4;;
Devil May Cry 4 Special Edition;CE EUROPE LIMITED;;Acción;24,99 €;PS4;"
                20.43 GB
              ";
MotoGP™15;MILESTONE SRL;;Carreras;39,99 €;PS4;"
                17.86 GB
              ";
Arcade Archives GRADIUS;"
Juego PSN
Lanzado 23 Jun 2015












                  204 Calificaciones
                

";;Shooter;6,99 €;PS4;;
Batman: Arkham Knight;WARNER BROS. INTERACTIVE;;Aventura;49,99 €;PS4;"
                49.46 GB
              ";
Batman: Arkham Knight Premium Edition;WARNER BROS. INTERACTIVE;;Aventura;79,99 €;PS4;"
                49.51 GB
              ";
Lote de Battlefield;EA Swiss Sarl;;Acción;29,99 €;PS4;"
                83.9 GB
              ";
Paq. inicio de Nanite Systems;SONY ONLINE ENTERTAINMENT LLC;;Shooter;19,99 €;PS4;;
PlanetSide 2;SONY ONLINE ENTERTAINMENT LLC;;Inglés;Gratis;PS4;"
                10.74 GB
              ";
Riptide GP2;"
Juego PSN
Lanzado 23 Jun 2015












                  1467 Calificaciones
                

";;Carreras;6,99 €;PS4;;
Arcade Archives CRAZY CLIMBER;"
Juego PSN
Lanzado 19 Jun 2015












                  35 Calificaciones
                

";;Casual;6,99 €;PS4;;
Tour de France 2015;FOCUS HOME INTERACTIVE;;Estrategia;19,99 €;PS4;"
                23.88 GB
              ";
